Id,Vin,Make,Model,Year,TrafficRegisterDate
782,1N6AA0CC3BN277719,Pontiac,Trans Sport,1999,2007-01-01
783,JTMHY7AJ5A5312931,GMC,Savana 2500,2006,2020-03-18
784,3D73Y3CLXAG042529,Audi,Quattro,2018,2000-02-17
785,WP1AA2A2XDL261892,Nissan,Sentra,2000,2002-09-08
786,1FTEW1CF0FF569671,Lincoln,Continental,2017,2004-07-18
787,1G6KD57Y68U209725,Ford,Club Wagon,2000,2018-07-22
788,WBAXH5C57DD096488,Maybach,57,2016,2015-05-20
789,WBA3B3G55EN309979,Chevrolet,Express 3500,2003,2000-03-15
790,3MZBM1L71EM312275,GMC,Sierra 3500,2008,2021-06-25
791,WBA3T1C57FP081657,Dodge,Grand Caravan,2013,2002-08-05
792,KNDJN2A23E7733837,Toyota,Supra,2005,2004-06-13
793,2T1BURHE6EC558546,Aston Martin,V8 Vantage,2016,2000-07-30
794,1N4AL2EP0DC996746,Chevrolet,HHR,2014,2001-03-18
795,WVWED7AJ9AW071139,GMC,1500,2005,2002-08-26
796,JN8AZ1MU7DW415871,Chrysler,LHS,2007,2001-03-10
797,WBAVA37587N995109,Subaru,Alcyone SVX,2011,2021-09-14
798,2G4GL5EX4F9322269,Porsche,Cayman,2012,2008-03-31
799,1FADP5CU5EL184050,Chevrolet,Tahoe,2015,2011-10-28
800,WAULT54B73N648680,Suzuki,Sidekick,2006,2009-06-01
801,JN8AZ1MU7CW953887,Mazda,Miata MX-5,2017,2006-03-27
802,WAUSH78E56A113890,Hyundai,Azera,2016,2013-04-10
803,1GD21XEG7FZ060345,Ford,LTD Crown Victoria,2002,2012-10-10
804,1GYUCHEF0AR671289,Aston Martin,Vantage,2017,2003-05-25
805,JN8AE2KP7F9345434,Honda,Fit,1999,2002-04-16
806,3VW217AU6FM180216,Chevrolet,Silverado 3500,2018,2010-05-27
807,WP0AA2A99CS963174,Jeep,Liberty,2003,2017-04-14
808,1C6RD6FP1CS810997,Jeep,Wrangler,2017,2010-03-27
809,2G4GR5ECXB9638717,Pontiac,Firebird,2009,2013-12-04
810,WAUDL74F35N736468,Chevrolet,Venture,2005,2003-05-08
811,1FAHP2D87FG564163,GMC,Sierra 1500,2020,2005-04-16
812,1N6AA0EC5DN306783,Mercedes-Benz,SLK-Class,2019,2016-03-03
813,3C6JD7CT4CG435201,Kia,Sorento,2021,2009-05-24
814,1D4RD3GG4BC142680,Mitsubishi,Raider,2019,2012-03-04
815,SCFEBBCF3CG375566,GMC,Sierra 2500,2005,2004-07-13
816,YV1902MM5F1333257,Volkswagen,Eos,2015,2014-04-10
817,WBA3B5C5XEF203796,Nissan,Titan,2020,2019-07-26
818,5UXFE4C58AL421702,Dodge,Viper,2007,2002-05-30
819,3D4PH5FV3AT671712,Lamborghini,Gallardo,2007,2006-01-10
820,WA1CFAFP8BA839696,BMW,3 Series,1999,2017-06-12
821,1FMJU1J59AE173344,Mazda,626,2003,2003-10-20
822,JTDZN3EU1D3644939,Lexus,IS,2019,2016-08-26
823,JM1DE1HY5B0550106,Lotus,Esprit,2011,2005-06-18
824,3D73M4CL6AG400081,Pontiac,Bonneville,2009,2003-04-15
825,5J6TF1H5XFL725687,Maybach,62,2019,2014-04-29
826,SCBLF44J98C074777,Chevrolet,Corvette,2021,2020-03-22
827,WA1VMBFE5BD633642,Nissan,Armada,2018,2017-01-05
828,JA32X2HUXCU635570,Dodge,Caravan,2009,2008-05-27
829,3FA6P0LU4ER581441,Dodge,Stealth,2013,2013-01-03
830,5N1AR2MM9FC060302,Chevrolet,Uplander,2008,2009-05-04
831,2FMGK5CC5AB522773,Dodge,Ram 3500,2007,2011-03-16
832,WVWED7AJ5DW884322,BMW,X3,2017,2017-04-25
833,JTHBE1BLXF1864188,Toyota,Supra,2015,2013-08-06
834,5N1AN0NU8AC760514,Toyota,T100,2011,2018-08-20
835,WBAYF8C58ED323572,Chevrolet,Corvette,2013,2009-02-19
836,JN8AZ1MU9AW236131,Mercedes-Benz,SL-Class,2003,2013-12-10
837,SCBGU3ZA7FC748836,Lexus,SC,2005,2016-09-10
838,5LMJJ2H5XEE751042,Nissan,GT-R,2020,2007-11-02
839,WDDPK4HA5DF884670,Porsche,911,2006,2016-01-11
840,1N6AD0CU6FN565143,Land Rover,Defender Ice Edition,2019,2003-01-04
841,1GD01ZCG1BF340716,Subaru,Impreza,2012,2017-05-11
842,YV4902DZ0B2811295,Mitsubishi,Tundra,2010,2013-02-04
843,WBAWL73577P244082,Nissan,Xterra,2005,2009-04-22
844,5GADS13S872076340,Cadillac,Seville,2018,2014-01-30
845,SALAF2D46AA368053,Chevrolet,Corvette,2015,2003-05-30
846,2T1KE4EE7CC605150,Oldsmobile,Bravada,2011,2020-07-19
847,1FTEX1CM6BF102728,Volkswagen,Jetta,2016,2020-10-31
848,19VDE3F3XDE592583,GMC,Canyon,2016,2013-05-21
849,JM1NC2JF1F0810192,Ford,F250,2018,2005-09-02
850,1FTEW1CM2DF349654,Mitsubishi,Montero,2011,2015-12-18
851,5FRYD3H90GB137784,Ford,Focus,2005,2016-12-24
852,5J8TB4H35EL795566,Land Rover,Freelander,2020,2002-09-25
853,2G4GR5GX2F9539377,Mitsubishi,Outlander,2004,2016-03-21
854,KMHFH4JG5FA104648,Chevrolet,Caprice,2002,1999-12-28
855,WBAFR7C56CC553252,Maserati,430,2008,2001-02-27
856,1C6RD7KP5CS864248,Cadillac,Seville,2018,2000-06-09
857,WAUSF98EX7A154275,Mazda,B-Series,2003,2021-03-26
858,WUADUAFG1BN588743,Pontiac,Firebird,2006,2017-09-24
859,3D7TP2CT9BG028586,Mazda,RX-7,2013,2021-10-11
860,WBA3B5C53EF267744,BMW,Z4 M,2012,2013-07-30
861,YV126MEB2F1832915,Chevrolet,Tahoe,2006,2002-09-18
862,3N1BC1AP9BL997008,Mitsubishi,Endeavor,2013,2000-03-04
863,JHMZE2H57DS890977,Hummer,H1,2020,2014-02-21
864,WAUMF78P76A823373,Dodge,Ram Wagon B250,2021,2003-12-29
865,2FMPK3J97FB514001,Chevrolet,Metro,2018,2020-06-19
866,5N3ZA0NC8AN844494,Infiniti,G,2001,2010-06-08
867,1G6AC5S33E0273038,Honda,Odyssey,2021,2006-05-05
868,WBABS53471J128520,Chevrolet,Avalanche,2018,2019-09-07
869,WAUCVAFR2BA615170,Nissan,JUKE,2001,2003-09-30
870,WAURVAFA9AN588724,GMC,Yukon XL 1500,2017,2007-01-19
871,WAUKFAFL1CN483064,Volvo,740,1999,2020-04-27
872,YV126MFC8F1765793,Volkswagen,Jetta,2010,2004-09-26
873,5N1AN0NW8DN363833,Suzuki,SJ,2001,2010-10-23
874,2G4GS5ER6D9769221,Mazda,B-Series,2001,2008-04-28
875,3VWF17AT0FM417291,Kia,Sedona,2012,2015-04-09
876,JN8AF5MV2FT755832,Volkswagen,rio,2007,2012-07-09
877,WBAYP1C54DD164777,Mitsubishi,Truck,2014,2010-10-10
878,1G6AE5SX3F0263625,Dodge,Durango,2000,2016-07-27
879,KNDJT2A24D7789984,Pontiac,Tempest,2000,2015-04-10
880,3LN6L2LU7DR673400,Audi,S5,2017,2001-04-25
881,1N6AA0CH4DN357772,Kia,Sedona,2005,2014-04-14
882,JN1AZ4EH4FM584777,Toyota,Paseo,2009,2009-02-12
883,1N6BF0KLXFN533366,Toyota,Tundra,2019,2016-10-02
884,4A31K2DF2BE601728,Lexus,GX,2008,2016-02-11
885,1GTN1TEX6BZ307133,Honda,Accord,2011,2015-06-10
886,2D4RN4DE0AR606446,Buick,Riviera,2004,2007-08-17
887,JHMGE8G34BS474957,Nissan,Xterra,2014,2003-05-22
888,JTEBU5JR2A5130000,Oldsmobile,Cutlass Cruiser,2014,2002-07-16
889,WAUCFAFH0FN937454,Mitsubishi,Mighty Max,2007,2007-12-18
890,1N6AA0EK4FN202411,Ford,Taurus,2008,2003-01-01
891,3C6TD5FT1CG439960,Dodge,Dakota Club,2003,2002-01-23
892,1GYS4GEF3BR589931,Pontiac,Grand Prix,1999,2000-07-27
893,5J8TB4H38GL748129,Dodge,D350 Club,2011,2001-02-03
894,WA1CMAFE1AD725167,Mitsubishi,Pajero,2020,2000-08-28
895,WAUAFAFL9EA719515,Nissan,Sentra,2001,2012-04-17
896,1G6AS5SX4E0310409,Lincoln,MKS,2003,2010-09-08
897,JN1BV7AP6FM905295,Lexus,GS,2014,2011-07-22
898,JN8AZ2NC5E9525409,Chevrolet,Aveo,2008,2017-02-19
899,WBAWV53597P499203,Chevrolet,Colorado,2001,2010-04-14
900,2C4RDGEGXCR957630,Audi,S4,1999,2015-11-25
901,WBAEU33473P111261,Saab,900,2002,2004-07-13
902,WUAGNAFG4CN679419,Oldsmobile,Bravada,2003,2019-12-24
903,KNADH4A32A6833014,Chevrolet,Suburban 1500,2002,2015-05-03
904,JN8AZ1FY5BW896295,Ford,F250,2004,2000-04-20
905,1G6DD1E33E0466918,Buick,Skylark,2019,2016-01-07
906,1G6DJ8EV2A0606180,GMC,Yukon XL 2500,2002,2016-06-02
907,WAULC68EX2A254235,Ford,LTD Crown Victoria,2002,2004-02-11
908,1C3ADEBZ7DV633206,Acura,Legend,2008,2000-11-22
909,2C3CDZBG4FH216667,Mercury,Villager,2000,2004-08-24
910,2HNYD18285H682352,Subaru,Forester,2019,2019-04-14
911,1G6AE5SX5F0625888,Toyota,Camry Hybrid,2019,2004-08-22
912,WAUAFAFL9DA039077,Ford,Explorer,2021,2006-09-24
913,1G6KY54941U660191,Volkswagen,Golf,2011,2007-10-31
914,SCFEDCAD2CG738697,Nissan,Altima,2017,2021-07-12
915,YV1672MS4B2265020,BMW,M6,2011,2019-12-28
916,WBSBL93466P110031,Ford,Escort,2013,2010-05-17
917,4USDU53577L375462,Audi,A8,2013,2021-02-03
918,3GYFNDEY5AS256981,Audi,S8,2018,2018-05-26
919,WBAFR7C59DC101085,Jeep,Wrangler,2013,2011-08-14
920,JTHFE2C23A2834286,Mercury,Capri,2013,2016-01-26
921,1FTMF1E80AF928553,Dodge,Dakota,2013,2007-10-18
922,WVGAV7AXXAW204356,Ford,LTD Crown Victoria,2020,2021-04-11
923,19UUA56963A246035,BMW,6 Series,2005,2020-08-03
924,2D4JN1AG2BR628287,Mitsubishi,Galant,2009,2004-06-11
925,WAUNF78P48A628242,Land Rover,Range Rover,2001,2017-01-06
926,1GYS3JEF2ER420892,Audi,100,2005,2017-07-25
927,1N4AB7AP0EN915434,Buick,Electra,2000,2003-10-24
928,JA4AS2AW9BU196555,Oldsmobile,Regency,2020,2006-01-22
929,5UXKR2C53F0947607,Buick,Skylark,2012,2004-01-26
930,JTDKTUD37ED549027,Honda,Fit,2014,1999-12-10
931,WA1DGAFE5CD616726,GMC,Canyon,2015,2016-03-18
932,JHMZF1C69DS260188,Lotus,Esprit,2021,2012-08-18
933,WBAVM5C51EV452884,Chevrolet,Equinox,2002,2018-08-08
934,2C3CCASG5DH085220,Mercedes-Benz,CLK-Class,2016,2005-01-10
935,WBAKB4C50CC563907,Volvo,940,2007,2019-03-02
936,JN1AV7AP8FM049736,Chrysler,Sebring,2003,2000-09-12
937,4T1BK3DB9AU430938,Jeep,Grand Cherokee,2010,2000-12-23
938,SALFR2BN8BH486624,Ford,F-Series,2014,2021-01-27
939,1N6AD0CW4FN141641,Mercedes-Benz,SLK-Class,2011,2004-02-26
940,1N6AD0CU5CC724094,BMW,M5,2014,2011-01-28
941,1GYFK53259R757901,Dodge,Dakota,2009,2013-03-29
942,WAU2GAFC8FN291657,Lexus,LS Hybrid,2014,2010-07-12
943,JTJBM7FX6B5571585,Lexus,IS F,2000,2020-09-02
944,WAUKF98E38A287414,Mercury,Mystique,2000,2010-12-16
945,5FRYD3H46EB523272,Dodge,Caravan,2016,2020-10-04
946,1GD02ZCG3EF384623,Chrysler,300M,2005,2014-04-19
947,WBA3N3C58EK130401,Honda,Accord,2018,2001-09-14
948,3C63DRLL7CG196389,Mercury,Sable,2006,2020-09-26
949,SCFAD01E29G217994,Renault,Alliance,2001,2014-05-28
950,3D7LT2ETXAG239061,Buick,Riviera,2015,2001-02-16
951,WP0CA2A85ES074178,Mitsubishi,Truck,2010,2020-01-14
952,5GAER23748J753019,Infiniti,Q,2014,2011-08-25
953,1FTEX1EW7AF807650,Subaru,Legacy,2013,2003-08-07
954,WDDHF0EB5FB160650,Land Rover,Discovery,2020,2021-04-19
955,KMHHT6KDXDU071679,Pontiac,Grand Prix,2009,2015-06-21
956,1C6RD6PT9CS629528,Acura,NSX,2016,2019-10-14
957,2T1BU4EE5BC009312,Toyota,Land Cruiser,2015,2003-05-31
958,1GTN1TEX5BZ368747,Hyundai,XG350,2001,2008-10-02
959,WA1DMAFP8EA891974,Dodge,Neon,2016,2016-10-02
960,1C6RD6NT9CS764110,Nissan,350Z,2011,2014-09-25
961,5FPYK1F44CB026031,Chevrolet,Silverado 1500,2003,2003-10-16
962,1GTN1TEX9CZ706393,Oldsmobile,Cutlass Supreme,2014,2006-07-10
963,2FMGK5BC7CB937453,Oldsmobile,Ciera,2018,2011-08-15
964,WBALX3C53CD012865,Buick,Regal,1999,2012-10-18
965,WAUML54D61N645966,Lincoln,LS,2008,2011-08-28
966,JM1NC2LF0C0318777,Lotus,Elan,2009,2011-03-23
967,WAULV94E89N758609,Bentley,Brooklands,2004,2004-02-15
968,1GYS4AEF4CR785763,Nissan,Frontier,2013,2011-12-12
969,JA32X8HW3AU693635,Porsche,944,2021,2018-12-22
970,3FAHP0KC5AR804890,Geo,Tracker,2003,2020-05-16
971,WA1VFBFL9EA557549,Ferrari,612 Scaglietti,2021,1999-12-09
972,KM8JT3AF1FU204416,Isuzu,Hombre Space,2012,2000-04-06
973,WAUHF78P68A279825,Ford,Ranger,2009,2005-10-16
974,1FTSW2B58AE887084,Dodge,Stratus,2021,2005-01-16
975,2T2BK1BA6BC273138,Ford,Th!nk,2016,2020-02-17
976,WVWAP7ANXEE096295,Ford,Ranger,2003,2010-02-23
977,KNAFZ6A33F5097120,BMW,3 Series,2002,2020-01-24
978,2T1BPRHE1FC359087,Chevrolet,G-Series 3500,2005,2013-03-04
979,JTHDU1EF1D5646907,Ford,Falcon,2004,2008-12-14
980,JH4DB75611S941107,Honda,Accord,2005,2006-02-06
981,WAURVAFD2BN468453,Jaguar,XK,2019,2021-01-01
982,1D7CW3GK4AS105821,Mercury,Lynx,2013,2014-04-21
983,JN8AF5MRXBT152771,Dodge,Dakota,2008,2018-08-26
984,JTHBB1BA0A2631124,Volvo,V50,2015,2006-06-05
985,WA1CGAFE9ED698779,Lexus,ES,2008,2004-05-06
986,5TDDK3DC7CS759960,Hyundai,Genesis,2017,2015-05-19
987,2C3CK5CV1AH176844,Volkswagen,Eurovan,2003,2018-05-20
988,WAUBC48H06K415346,BMW,5 Series,2002,2008-06-05
989,JN1CV6EK4BM514623,Mercedes-Benz,E-Class,2013,2019-08-21
990,1G6DG1E34E0480169,Isuzu,Trooper,1999,2004-07-07
991,WAULV44E57N454203,Chevrolet,Silverado 1500,2008,2005-04-12
992,3C6TD5MTXCG463421,Toyota,4Runner,2017,2007-10-02
993,WBAUP73579V323133,Mazda,CX-9,2019,2018-05-28
994,2T1BURHE1EC329904,Lotus,Exige,2001,2008-12-24
995,5UXZV4C54CL965727,Ford,F150,2000,2004-01-05
996,4T1BD1EB0EU529229,Mercedes-Benz,CL-Class,2015,2005-09-29
997,WBA3A5C55DJ604218,Toyota,Avalon,2019,2009-04-28
998,SCFEBBEL5DG917951,Kia,Rio,2001,2013-04-01
999,WBAEP33432P772436,Lexus,SC,2017,2005-11-04
1000,WAUAF78E86A930921,Mazda,Millenia,2018,2010-09-21
